Date,Breakfast,Lunch,Dinner,Snacks,Drinks
4/7/16,,Burrito Bowl (chipotle),Yellow Curry - Tofu and Vegetables (Bangkok thai),"Cheesecake, Garlic bread",
4/8/16,Brownie (Einsteins),Cheese Pizza Bagel,Veggie Lover's Pizza,,
4/9/16,,Vegetable Omelette,Crispy Tofu Pad Thai,,Hot Chocolate
4/10/16,,Penne Rosa,Beans with Toast,"Strawberries, Chocolate Devotion",
4/11/16,,Pad Thai with Tofu,"Veggie Burger, Cajun Fries",,
4/12/16,,Plain Bagel with Blueberry,Falafels (6 pieces),Cheesecake,
4/13/16,,Burrito Bowl (chipotle),Vegetable Vendaloo,,
4/14/16,,Chalupa Supreme (Sub Beans),Pad Thai with Tofu,,
4/15/16,,Veggie Burrito,Pao Bhaji,Cheesecake,
4/16/16,,Pao Bhaji,Penne Rosa,Cheesecake,Hot Chocolate
4/17/16,,Pad Thai with Tofu,Veggie Lover's Pizza,,
4/18/16,,Everything Smasher,Veggie Burrito,,
4/19/16,,Vegetable Vendaloo,Pao Bhaji,Chocolate Devotion,
4/20/16,,Vegetable Fried Rice,"Veggie Burger, Cajun Fries",,
4/21/16,,Vegetable Thali,Penne Rosa,Cheesecake,
4/22/16,,6 pc Hash Browns,Dal and Rice,,
4/23/16,6 pc Hash Browns,Pad Thai with Tofu,Dal and Rice,,Starbucks Mocha Frap (Grande)
