Date,Lunch,Dinner,Snacks,Breakfast,Drinks
4/7/2017,Yellow Curry (Tofu & Vegetables),Chicken Wich,,,
4/8/2016,Chicken Subway,Paneer Tikka,Magnum Chocolate bar,,Bournvita With Milk
4/9/2016,Red Curry,Chicken Azzip Pizza,,,
4/10/2016,Penne Rosa,Hummas with Chicken,Magnum Chocolate bar,,Bournvita With Milk
4/11/2016,Chicken Subway,Quesadilla,,,
4/12/2016,Black Bean Wich,Spicy Fried Rice,,,
4/13/2016,Chicken Subway,Penne Rosa ,Magnum Chocolate bar,,Bournvita With Milk
4/14/2016,Yellow Curry (Tofu & Vegetables),Maggi,,,
4/15/2016,Chicken Wich,Jurrasic Chicken Burger,,,
4/16/2016,Chicken Teriyaki,Chicken Subway,,,
4/17/2016,Penne Rosa,Hummas with Chicken,,,
4/18/2016,Pesto Cavatapi,Pad Thai with Tofu,,,
4/19/2016,Pad Thai with Tofu,Chicken Azzip Pizza,Choco Lava Cake,,Bournvita With Milk
4/20/2016,Fish and Tofu in spicy sauce,Fish and Tofu in spicy sauce,,,
4/21/2016,Penne Rosa,Chicken Bowl,Ice cream Sandwich,,
4/22/2016,Chicken Subway,Chicken Masala,,,Bournvita With Milk
4/23/2016,Chicken Subway,Spicy Fried Rice,Ice cream Sandwich,,
