Date,Breakfast,Lunch,Dinner,Drinks,Snacks
4/7/16,,Yellow Curry (Tofu & Vegetables),Vegetable Bowl,,Cheesecake
4/8/16,,Penne Rosa,Veggie Lover's Pizza,Starbucks Mocha Frap (Grande),
4/9/16,,Veggie Burrito,"Red Curry,Spicy Fried Rice",Starbucks Mocha Frap (Grande),
4/10/16,,Penne Rosa,Beans with Toast,Java Chip,Cheesecake
4/11/16,,Red Curry,"Veggie Burger, Cajun Fries",,
4/12/16,,Maggi,Kellogs K Cereal,,
4/13/16,,Penne Rosa,Vegetable Vendaloo,,
4/14/16,,Chalupa Supreme (Sub Beans),Spicy Fried Rice,,Cheesecake
4/15/16,,Veggie Burrito,Pao Bhaji,,
4/16/16,,Spicy Fried Rice,Kellogs K Cereal,Java Chip,
4/17/16,,Red Curry,Veggie Lover's Pizza,,
4/18/16,,Everything Smasher,Veggie Burrito,Java Chip,Cheesecake
4/19/16,,Dal Sabzee,Pao Bhaji,,
4/20/16,,Spicy Fried Rice,Veggie Burger,,
4/21/16,,Vegetable Vendaloo,Penne Rosa,,
4/22/16,,Kellogs K Cereal,Veggie Taco,,Chocolate Ice Cream
4/23/16,,Pad Ped,,Java Chip,Hash Browns
