Food,Restaurant,Cost,Calories,Fat (g),Saturated (g),Polyunsaturated (g),Monounsaturated (g),Trans (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron(%)
6 pc Hash Browns,Dunkin Donuts,0.99,130,8,1,0,0,0,0,480,0,15,2,0,1,0,8,2,2
Bacon,Perkin's Restaurant and Bakery,1.50,75,6,2,0,0,0,15,280,0,0,0,0,6,0,0,0,0
Beans with Toast,Home,4.32,140,1,0.2,0.2,0.2,0,1.5,426,173,18,3.1,8.5,3.8,1.6,0,2.7,5.3
Black Bean Burger ISR,ISR,4.50,300,7,1,4,0,0,0,830,540,44,10,9,24,46.1,5.4,16.4,19.6
Blazin Wings,Buffalo Wild Wings,1.00,72,5,1,0,0,0,26,66,0,0,0,0,6,0,0,0,0
Blueberries,Home,2.00,85,0.5,0,0.2,0.1,0,0,1,114,21,3.6,15,1.1,1,24,0,2
Blueberry Yogurt,Home,0.98,130,0,0,0,0,0,5,60,0,19,0.9,15,12,0,6,15,0
Brewed Iced Tea,Einsteins,2.98,34,0,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0
Brown Rice,Home,0.30,109,0.8,0.2,0,0,0,0,3,42,22.9,1.8,0,2.3,0,0,19.5,0
Brownie (Einsteins),Einsteins,1.52,310,16,4.5,0,0,0,25,180,0,42,2,27,4,2,0,2,8
Cajun Fries,Jurassic Grill,2.95,260,14,5,0,0,1,10,570,0,30,2,0,3,0,0,0,0
Carmelized Honey Latte,Starbucks,3.98,218,4.5,3,0,0,0,22.5,210,0,36,0.8,33.8,9,15,0,30,0
Carrots,Home,0.10,10,0,0,0,0,0,0,22.1,67.2,2.3,0.8,1.3,0.2,78.2,1.2,0.9,1.4
Chai,Home,0.75,108,4,0,0,0,0,12.5,68,0,14.4,0,13.9,4,3,4,15,1
Chalupa Supreme (Sub Beans),Taco Bell,5.35,360,18,3.5,0,0,0,10,520,0,38,5,4,12,8,6,15,15
Cheerios,Home,0.20,110,1.5,0,0.5,0.5,0,0,160,115,22,2,9,2,10,10,10,25
Cheese Pizza Bagel,Einsteins,5.10,404,11,7,0,0,0,33,945,0,59,2,6,22,6,4,40,20
Cheesecake,Caffe Bene,5.42,91,6.4,2.8,0.5,2.4,0,15.6,58.6,25.5,7.2,0.1,0,1.6,3.1,0.2,1.4,1
Cheesecake,Caffe Bene,5.42,238,62,32,0,0,0,537,580,0,12.5,3,8,20,17,2,29,16
Chicken Apple Sausage,Perkin's Restaurant and Bakery,1.50,120,8,0.5,0,0,0,40,330,0,3,0,2,10,6,0,0,4
Chicken Bowl,Chipotle,8.57,520,29,7,5,14.5,0.5,210,1070,1260,14,4,0,53,26,11,6,25
Chocolate Devotion,Coldstone Creamery,7.63,670,45,22,0,0,1,90,240,0,78,12,65,10,20,4,30,6
Chocolate Ice Cream,Union,2.00,240,13.5,7.5,0,0,0,52.5,67.5,0,24,1.5,22.5,4.5,9,0,15,3
Chocolate Xtreme,Dairy Queen,2.96,390,16,10,0,0,0.5,40,200,0,55,1,44,8,0,0,0,0
Crispy Tofu Pad Thai,Siam Terrace,12.31,419,14.4,1.7,3.5,6.8,0,106,845,0,57.5,2.8,0,15.4,0,0,0,0
Dal and Rice,Home,4.36,430,1.5,0,0,0,0,0,440,251,32.3,0,0,8.4,0,3,2,18
Dal Sabzee,Bombay Indian Grill,8.73,341,3,0,1,0,0,31,121,0,21,0,0,10,3,8,0,1
Everything Smasher,Perkin's Restaurant and Bakery,12.32,510,34,11.5,0,0,0,352.5,1025,0,30.5,3.5,0,20.5,17.5,25,17.5,10
Falafels (6 pieces),Mashawi,2.18,342,18.2,2.4,4.2,10.4,0,0,300,594,32.5,0,0,13.6,0,0,6,18
Fruit and Yogurt Parfait,Einsteins,3.00,170,1,0,0,0,0,5,114,0,34,4,23,7,2,93,30,6
Fruit Cup,Perkin's Restaurant and Bakery,1.50,50,0,0,0,0,0,0,10,0,12,1,10,1,20,45,0,2
Garlic Bread,Mia Za's,3.72,138,8.4,1.7,2.6,0,0,0,243,35.9,13.3,0.7,0.5,2.3,7.6,0.2,2.2,3.9
GF Chocolate Frosted Donuts,Home,3.00,500,24,10,0,0,0,50,560,0,68,2,30,2,0,0,4,4
GF Hamburger Bun,Home,2.50,380,10,1,0,0,0,0,0,0,68,8,8,10,0,0,4,8
GF Pita,Home,1.25,260,4.5,0,0,0,0,0,400,0,51,0,2,4,0,0,8,130
GF Pizza,Home,3.70,580,23.5,7,0,0.5,0,30,1280,0,70,3,11,23,16,20,88,10
Grilled Chicken,Home,0.70,93,3.1,0,0,0,0,0,99,218.1,0,0,0,19.5,0,0,1,6
Hash Browns,Perkin's Restaurant and Bakery,2.00,490,13,1.5,0,0,0.5,0,1830,0,87,7,5,8,2,10,4,6
Hot BBQ Wings,Buffalo Wild Wings,6.00,513,36.7,8.8,0,0,0,173.8,440,0,3.3,0,3.3,38.8,0,0,0,0
Hot Chocolate,LePeep,3.52,80,2.8,1.7,0,0,0,0,170,0,15,1,14.9,2,0,0,0,0
Hot Fudge Sundae,Courier Cafe,4.35,530,29,19,0,0,0,85,200,0,62,0,52,8,0,0,0,0
Hot Wings,Buffalo Wild Wings,3.00,216,15,3,0,0,0,78,198,0,0,0,0,18,0,0,0,0
Hummus,Home,0.30,53,2.6,0.3,0.6,1.5,0,0,72.6,51.9,6,1.2,0.1,1.5,0,4,1.5,2.6
Indian Fish Curry,Home,2.00,338,13.5,0,0,0,0,0,2714.6,0,11.6,2.3,0,41.6,0,0,0,0
Indonesian Peanut Sautee with Tofu,Noodles and Company,7.80,1020,9,0,0,0,0,0,359,52,155,0,1,34,0,21,2,4
Kellogs K Cereal,Kellogg's,3.74,120,1,0,0,0,0,0,220,20,23,0,4,5,15,35,0,45
