Date,Breakfast,Lunch,Dinner,Drinks,Snacks
4/7/2016,,Yellow Curry - Tofu and Vegetables (Bangkok thai),Burrito Bowl (chipotle),,Cheesecake
4/8/2016,,Penne Rosa,Veggie Lovers,Cafe Mocha,
4/9/2016,,Mexican Platter,Red curry fried rice,Cafe Mocha,
4/10/2016,,Penne Rosa,Beans and Toast,Java Chip,Cheesecake
4/11/2016,,Green Curry,"Veggie Burger, Cajun Fries",,
4/12/2016,,Maggi,Cereal,,
4/13/2016,,Penne Rosa,Vegetable Vendaloo,,
4/14/2016,,Chalupa Supreme (Sub Beans),Fried Rice,,Cheesecake
4/15/2016,,Veggie Burrito,Pao Bhaji,,
4/16/2016,,Fried Rice,Cereal,Java Chip,
4/17/2016,,Green Curry,Veggie Lovers,,
4/18/2016,,Everything Omelette,Sope (Mexicana),Java Chip,Cheesecake
4/19/2016,,Dal Sabzee,Pao Bhaji,,
4/20/2016,,Fried Rice,Veggie Burger,,
4/21/2016,,Vegetable Vendaloo,Penne Rosa,,
4/22/2016,,Kellogs K Cereal,Veggie Taco (Maize),,Chocolate Ice Cream
4/23/2016,,Pad Ped,,Java Chip,Hash Browns
